Files,V,E,UFA_SIZE(s)
1,348,2866,0.0032
2,1390,30654,0.0341
3,2167,45414,0.0299
4,2916,76190,0.0515
5,3463,81550,0.0556
6,3670,84875,0.0570
7,3730,85080,0.0574
8,3833,86243,0.0592
9,4003,88069,0.0761
10,4039,88234,0.0651
