Files,V,E,UFA_RANK(s)
1,348,2866,0.0034
2,1390,30654,0.0344
3,2167,45414,0.0298
4,2916,76190,0.0520
5,3463,81550,0.0582
6,3670,84875,0.0598
7,3730,85080,0.0618
8,3833,86243,0.0621
9,4003,88069,0.1533
10,4039,88234,0.0644
