Algorithm,Normal(s),Shuffled(s),Diff(s)
BFS,0.01512,0.01568,0.00056
DFS,0.01522,0.01581,0.00059
UFA_RANK,0.05170,0.05919,0.00748
UFA_SIZE,0.05156,0.05873,0.00717
