graph_id,nodes,edges,p,q,num_walks,walk_length,train_time,inference_time,total_runtime,memory_mb,sample_size,precision,recall,f1_score,roc_auc,map,true_positives
1,348,2866,0.2,0.2,5,40,3.5899455547332764,0.47531723976135254,4.065262794494629,9.606587409973145,50,0.14791666666666667,0.12369337979094076,0.13472485768500947,0.8541,0.3052993668956667,71
1,348,2866,0.2,0.2,5,80,5.52039098739624,0.4869804382324219,6.007371425628662,13.903306007385254,50,0.13865546218487396,0.11498257839721254,0.1257142857142857,0.8625,0.32496966821919376,66
1,348,2866,0.2,0.2,5,120,7.435649156570435,0.48447513580322266,7.920124292373657,17.732937812805176,50,0.14526315789473684,0.12020905923344948,0.13155386081982842,0.8507999999999999,0.32987725292137055,69
1,348,2866,0.2,0.2,10,40,5.460555553436279,0.46663427352905273,5.927189826965332,13.821234703063965,50,0.13278008298755187,0.11149825783972125,0.1212121212121212,0.8335,0.34136799380646915,64
1,348,2866,0.2,0.2,10,80,9.469901084899902,0.46749353408813477,9.937394618988037,22.31861400604248,50,0.15513626834381553,0.1289198606271777,0.14081826831588964,0.8408,0.32454801418577844,74
1,348,2866,0.2,0.2,10,120,13.172017335891724,0.501544713973999,13.673562049865723,29.961938858032227,50,0.15657620041753653,0.13066202090592335,0.14245014245014245,0.8597999999999999,0.3378622080960113,75
1,348,2866,0.2,0.2,20,40,9.242279529571533,0.5247280597686768,9.76700758934021,22.14176654815674,50,0.13800424628450106,0.1132404181184669,0.12440191387559808,0.8419,0.3257089603518174,65
1,348,2866,0.2,0.2,20,80,16.966694593429565,0.477872371673584,17.44456696510315,39.11979866027832,50,0.14255765199161424,0.11846689895470383,0.12940057088487156,0.8601,0.3318492481167551,68
1,348,2866,0.2,0.2,20,120,24.470845699310303,0.5124061107635498,24.983251810073853,54.42371845245361,50,0.1524008350730689,0.12717770034843207,0.13865147198480532,0.855,0.35540993973346924,73
1,348,2866,0.2,0.2,40,40,16.74190640449524,0.5300946235656738,17.272001028060913,38.74486255645752,50,0.13807531380753138,0.11498257839721254,0.12547528517110262,0.8606,0.3050178777930201,66
1,348,2866,0.2,0.2,40,80,32.03523921966553,0.47681665420532227,32.51205587387085,72.71890926361084,50,0.14675052410901468,0.12195121951219512,0.13320647002854424,0.8624999999999999,0.33680342746417563,70
1,348,2866,0.2,0.2,40,120,47.86273694038391,0.5244140625,48.38715100288391,103.33874893188477,50,0.15866388308977036,0.13240418118466898,0.14434947768281103,0.856,0.3194656664828976,76
1,348,2866,0.2,0.5,5,40,3.5657427310943604,0.487379789352417,4.053122520446777,9.590896606445312,50,0.1416490486257928,0.11672473867595819,0.12798471824259788,0.8413,0.3117839489331085,67
1,348,2866,0.2,0.5,5,80,5.530228853225708,0.49774956703186035,6.027978420257568,13.890955924987793,50,0.14105263157894737,0.11672473867595819,0.12774070543374644,0.836,0.3230752222687706,67
1,348,2866,0.2,0.5,5,120,7.315592527389526,0.4964029788970947,7.811995506286621,17.72236156463623,50,0.12869198312236288,0.10627177700348432,0.11641221374045803,0.8469,0.31563947531874703,61
1,348,2866,0.2,0.5,10,40,5.432297706604004,0.5230085849761963,5.9553062915802,13.814868927001953,50,0.13062098501070663,0.10627177700348432,0.11719500480307396,0.8483999999999999,0.320326062523775,61
1,348,2866,0.2,0.5,10,80,9.189480781555176,0.46558213233947754,9.655062913894653,22.303680419921875,50,0.15578947368421053,0.1289198606271777,0.14108674928503337,0.8352999999999999,0.2911619609582431,74
1,348,2866,0.2,0.5,10,120,12.951014757156372,0.46948671340942383,13.420501470565796,29.954384803771973,50,0.13742071881606766,0.1132404181184669,0.12416427889207259,0.8407,0.3179379901269692,65
1,348,2866,0.2,0.5,20,40,9.133533000946045,0.5044803619384766,9.638013362884521,22.134716987609863,50,0.14675052410901468,0.12195121951219512,0.13320647002854424,0.8413,0.3518561745685929,70
1,348,2866,0.2,0.5,20,80,16.35500955581665,0.46442508697509766,16.819434642791748,39.09938907623291,50,0.15271966527196654,0.12717770034843207,0.1387832699619772,0.8516,0.31123023522431664,73
1,348,2866,0.2,0.5,20,120,24.200356245040894,0.48700857162475586,24.68736481666565,54.40458679199219,50,0.16108786610878661,0.13414634146341464,0.14638783269961977,0.8388,0.34242292141833774,77
1,348,2866,0.2,0.5,40,40,16.40476417541504,0.48311734199523926,16.88788151741028,38.72988414764404,50,0.1425531914893617,0.11672473867595819,0.12835249042145594,0.8266,0.32172139579737613,67
1,348,2866,0.2,0.5,40,80,31.021618843078613,0.478546142578125,31.50016498565674,72.69627666473389,50,0.14587737843551796,0.12020905923344948,0.1318051575931232,0.8377,0.34443350784432375,69
1,348,2866,0.2,0.5,40,120,45.04847979545593,0.4688711166381836,45.517350912094116,103.30675029754639,50,0.1540084388185654,0.12717770034843207,0.13931297709923665,0.8518,0.3179525283557541,73
1,348,2866,0.2,0.7,5,40,3.4036102294921875,0.45501232147216797,3.8586225509643555,9.591940879821777,50,0.13655462184873948,0.1132404181184669,0.1238095238095238,0.8603,0.31264581590211843,65
1,348,2866,0.2,0.7,5,80,5.279162406921387,0.45623302459716797,5.735395431518555,13.891210556030273,50,0.1401673640167364,0.11672473867595819,0.12737642585551331,0.8272999999999999,0.2967907456237627,67
1,348,2866,0.2,0.7,5,120,7.10070276260376,0.4551992416381836,7.555902004241943,17.720160484313965,50,0.1464968152866242,0.12020905923344948,0.1320574162679426,0.8607999999999999,0.31544987416454184,69
1,348,2866,0.2,0.7,10,40,5.191266775131226,0.4594588279724121,5.650725603103638,13.80979061126709,50,0.1461864406779661,0.12020905923344948,0.13193116634799235,0.8553,0.3299199275669864,69
1,348,2866,0.2,0.7,10,80,8.662972927093506,0.46536779403686523,9.128340721130371,22.30193042755127,50,0.14285714285714285,0.11846689895470383,0.12952380952380954,0.8606,0.3856763560402516,68
1,348,2866,0.2,0.7,10,120,12.180301904678345,0.45308971405029297,12.633391618728638,29.949033737182617,50,0.13836477987421383,0.11498257839721254,0.12559467174119884,0.8439,0.34927054794981965,66
1,348,2866,0.2,0.7,20,40,8.607483863830566,0.46535682678222656,9.072840690612793,22.13133716583252,50,0.1392931392931393,0.11672473867595819,0.1270142180094787,0.8244,0.32954762544748534,67
1,348,2866,0.2,0.7,20,80,15.579081296920776,0.4633300304412842,16.04241132736206,39.09604835510254,50,0.14225941422594143,0.11846689895470383,0.12927756653992395,0.8437,0.3047938775397926,68
1,348,2866,0.2,0.7,20,120,22.933454036712646,0.45780491828918457,23.39125895500183,54.3977575302124,50,0.14225053078556263,0.11672473867595819,0.12822966507177033,0.8415000000000001,0.3199940833289979,67
1,348,2866,0.2,0.7,40,40,15.647684574127197,0.45465731620788574,16.102341890335083,38.72297668457031,50,0.1407563025210084,0.11672473867595819,0.12761904761904763,0.8424,0.366414096615077,67
1,348,2866,0.2,0.7,40,80,29.691933155059814,0.4654850959777832,30.157418251037598,72.68527507781982,50,0.1461864406779661,0.12020905923344948,0.13193116634799235,0.8347,0.3252106209487161,69
1,348,2866,0.2,0.7,40,120,44.45856475830078,0.4615285396575928,44.920093297958374,103.29460144042969,50,0.13953488372093023,0.11498257839721254,0.12607449856733527,0.8306,0.31475066175052624,66
