graph_id,algorithm,nodes,edges,train_edges,test_edges,precision,recall,f1_score,roc_auc,runtime,memory_mb,true_positives,total_predictions,sample_size
6,Preferential Attachment,3670,84875,67900,16975,0.02,0.000589101620029455,0.001144492131616595,0.9156,3.280160665512085,0.1,10,500,50
5,Adamic-Adar,3463,81550,65240,16310,0.304,0.00931943592887799,0.018084473527662105,0.9964,11.491330623626709,0.1,152,500,50
7,Preferential Attachment,3730,85080,68064,17016,0.027083333333333334,0.0007639868359191349,0.0014860539551897578,0.8974000000000001,3.3495094776153564,0.1,13,480,50
5,Jaccard Coefficient,3463,81550,65240,16310,0.2931726907630522,0.008951563458001226,0.017372679676344597,0.9944,15.513713359832764,0.1,146,498,50
6,Common Neighbors,3670,84875,67900,16975,0.2967479674796748,0.008600883652430044,0.016717238220644644,0.9998,11.562705039978027,0.1,146,492,50
5,Resource Allocation,3463,81550,65240,16310,0.314,0.00962599632127529,0.018679357525282568,0.9952,13.726840019226074,0.1,157,500,50
6,Adamic-Adar,3670,84875,67900,16975,0.3034623217922607,0.008777614138438881,0.01706171991297378,1.0,14.635858535766602,0.1,149,491,50
6,Resource Allocation,3670,84875,67900,16975,0.32382892057026474,0.009366715758468336,0.018206801786327727,0.9992000000000001,13.008768081665039,0.1,159,491,50
7,Common Neighbors,3730,85080,68064,17016,0.37083333333333335,0.010460742830277385,0.02034750800182899,0.998,11.679939985275269,0.1,178,480,50
6,Jaccard Coefficient,3670,84875,67900,16975,0.2845528455284553,0.008247422680412371,0.016030228430755137,0.9852000000000001,20.32446026802063,0.1,140,492,50
8,Preferential Attachment,3833,86243,68994,17249,0.016,0.00046379500260884687,0.0009014592371401205,0.9032,5.677281856536865,0.1,8,500,50
7,Adamic-Adar,3730,85080,68064,17016,0.39791666666666664,0.01122472966619652,0.021833561957018743,0.9984,18.230074882507324,0.1,191,480,50
7,Resource Allocation,3730,85080,68064,17016,0.4166666666666667,0.011753643629525154,0.02286236854138089,0.9984,13.202738523483276,0.1,200,480,50
8,Common Neighbors,3833,86243,68994,17249,0.3394308943089431,0.009681720679459679,0.018826447212671217,0.9982,13.205992221832275,0.1,167,492,50
7,Jaccard Coefficient,3730,85080,68064,17016,0.35833333333333334,0.010108133521391631,0.019661636945587563,0.9912,19.333728075027466,0.1,172,480,50
8,Adamic-Adar,3833,86243,68994,17249,0.35772357723577236,0.010203490057394632,0.019841046164252297,0.9988,14.217189311981201,0.1,176,492,50
8,Resource Allocation,3833,86243,68994,17249,0.37398373983739835,0.010667285060003478,0.020742911898991037,0.9968000000000001,13.239815711975098,0.1,184,492,50
9,Preferential Attachment,4003,88069,70455,17614,0.048,0.0013625525150448507,0.002649884067572044,0.8992,5.716262102127075,0.1,24,500,50
9,Common Neighbors,4003,88069,70455,17614,0.373469387755102,0.010389462927216986,0.02021652673442333,1.0,13.106521368026733,0.1,183,490,50
8,Jaccard Coefficient,3833,86243,68994,17249,0.32113821138211385,0.009159951301524727,0.01781184826109013,0.9788,18.299798727035522,0.1,158,492,50
9,Adamic-Adar,4003,88069,70455,17614,0.3979591836734694,0.011070739184739413,0.021542200618647818,1.0,12.956757545471191,0.1,195,490,50
10,Preferential Attachment,4039,88234,70587,17647,0.042,0.001190003966679889,0.0023144321375433955,0.8576000000000001,3.488739252090454,0.1,21,500,50
10,Common Neighbors,4039,88234,70587,17647,0.3665987780040733,0.010200034000113333,0.019847833278200465,0.9992000000000001,10.77424430847168,0.1,180,491,50
9,Jaccard Coefficient,4003,88069,70455,17614,0.33537832310838445,0.009310775519473147,0.018118543887753413,0.996,15.674646615982056,0.1,164,489,50
9,Resource Allocation,4003,88069,70455,17614,0.41513292433537835,0.01152492335642103,0.022427222007402093,1.0,13.614514589309692,0.1,203,489,50
10,Resource Allocation,4039,88234,70587,17647,0.40816326530612246,0.011333371111237037,0.02205436400727794,1.0,8.0200936794281,0.1,200,490,50
10,Adamic-Adar,4039,88234,70587,17647,0.40122199592668023,0.011163370544568481,0.02172235086558606,1.0,12.505496740341187,0.1,197,491,50
10,Jaccard Coefficient,4039,88234,70587,17647,0.34285714285714286,0.009520031733439112,0.018525665766113468,0.9988,10.35149598121643,0.1,168,490,50
