graph_id,algorithm,nodes,edges,avg_degree,runtime,memory_mb,sample_size,theoretical_complexity,runtime_per_node,precision,recall,f1_score,roc_auc,map,true_positives
1,Jaccard Coefficient,348,2866,16.471264367816094,0.1418778896331787,1.01953125,50,94413.28735632185,0.002837557792663574,0.12761506276150628,0.10627177700348432,0.11596958174904944,0.8261999999999999,0.4436542436840055,61
1,Resource Allocation,348,2866,16.471264367816094,0.14497971534729004,0.390625,50,94413.28735632185,0.002899594306945801,0.15657620041753653,0.13066202090592335,0.14245014245014245,0.9385,0.5316800710183063,75
1,Preferential Attachment,348,2866,16.471264367816094,0.04463005065917969,0.12890625,50,348.0,0.0008926010131835938,0.060240963855421686,0.05226480836236934,0.055970149253731345,0.85305,0.3614298794123355,30
1,Common Neighbors,348,2866,16.471264367816094,0.07793211936950684,0.6328125,50,94413.28735632185,0.0015586423873901367,0.14315352697095435,0.12020905923344948,0.13068181818181818,0.9144,0.48097207125886776,69
1,Adamic-Adar,348,2866,16.471264367816094,0.11880803108215332,0.71875,50,94413.28735632185,0.0023761606216430664,0.15592515592515593,0.13066202090592335,0.14218009478672988,0.9315,0.49459519919078737,75
2,Preferential Attachment,1390,30654,44.10647482014389,0.7344090938568115,0.67578125,50,1390.0,0.01468818187713623,0.066,0.005382482466155603,0.009953249886894886,0.8482000000000001,0.155425579465006,33
3,Preferential Attachment,2167,45414,41.91416705122289,1.1714098453521729,1.0,50,2167.0,0.023428196907043456,0.0653061224489796,0.003523065066607949,0.00668546954977541,0.78815,0.1281907567675507,32
2,Adamic-Adar,1390,30654,44.10647482014389,3.0232949256896973,2.44921875,50,2704079.7582733817,0.06046589851379394,0.29979879275653926,0.024302723862338935,0.04496077248038624,0.9787,0.38192032965387723,149
3,Common Neighbors,2167,45414,41.91416705122289,4.062403202056885,2.09765625,50,3806979.9649284724,0.0812480640411377,0.29591836734693877,0.015963888583067267,0.030293533897419823,0.98245,0.3220318839806916,145
2,Resource Allocation,1390,30654,44.10647482014389,3.986211061477661,2.09765625,50,2704079.7582733817,0.07972422122955322,0.30784708249496984,0.024955145979448704,0.046167773083886546,0.9862,0.391548519816163,153
3,Resource Allocation,2167,45414,41.91416705122289,3.644871234893799,1.70703125,50,3806979.9649284724,0.07289742469787598,0.31901840490797545,0.01717494219971375,0.03259506895110739,0.99015,0.35368667818919214,156
2,Jaccard Coefficient,1390,30654,44.10647482014389,4.666374683380127,3.0859375,50,2704079.7582733817,0.09332749366760254,0.2834008097165992,0.02283477409884195,0.04226415094339623,0.9762,0.32910051941811547,140
2,Common Neighbors,1390,30654,44.10647482014389,4.044474363327026,2.4375,50,2704079.7582733817,0.08088948726654052,0.29577464788732394,0.023976512803784048,0.04435727217863609,0.97575,0.38351579067752906,147
4,Preferential Attachment,2916,76190,52.256515775034295,3.3178422451019287,0.578125,50,2916.0,0.06635684490203858,0.03,0.0009843811523822024,0.0019062142584826535,0.8409500000000001,0.13897187738585587,15
4,Adamic-Adar,2916,76190,52.256515775034295,6.381201505661011,1.4453125,50,7962847.873799726,0.1276240301132202,0.36619718309859156,0.011943824648904056,0.02313314267556403,0.98895,0.45823760324575386,182
3,Adamic-Adar,2167,45414,41.91416705122289,8.579505681991577,2.265625,50,3806979.9649284724,0.17159011363983154,0.310838445807771,0.016734559066387756,0.03175929795236105,0.98795,0.3272037282046983,152
4,Common Neighbors,2916,76190,52.256515775034295,8.543691158294678,1.67578125,50,7962847.873799726,0.17087382316589356,0.358148893360161,0.011681323008268801,0.022624721957419762,0.9875499999999999,0.45883731083611623,178
3,Jaccard Coefficient,2167,45414,41.91416705122289,9.398548126220703,2.9921875,50,3806979.9649284724,0.18797096252441406,0.2827868852459016,0.01519321809974678,0.02883711210949744,0.9686,0.2793714718155633,138
5,Preferential Attachment,3463,81550,47.09789200115507,3.384061098098755,0.1,50,3463.0,0.0676812219619751,0.03,0.0009196811771919068,0.001784651992861392,0.7612500000000001,0.13752494442879057,15
5,Common Neighbors,3463,81550,47.09789200115507,7.169459104537964,0.1,50,7681666.185388391,0.14338918209075927,0.304,0.00931943592887799,0.018084473527662105,0.98475,0.3972371178151353,152
4,Resource Allocation,2916,76190,52.256515775034295,10.161043167114258,0.2734375,50,7962847.873799726,0.20322086334228515,0.3714859437751004,0.012140700879380496,0.023512963904422975,0.9895499999999999,0.4862014023445377,185
6,Preferential Attachment,3670,84875,46.253405994550405,2.6809816360473633,0.1,50,3670.0,0.05361963272094727,0.02,0.000589101620029455,0.001144492131616595,0.8752500000000001,0.11917107571265788,10
5,Adamic-Adar,3463,81550,47.09789200115507,11.255494832992554,0.1328125,50,7681666.185388391,0.22510989665985107,0.304,0.00931943592887799,0.018084473527662105,0.9863999999999999,0.4061494323698372,152
4,Jaccard Coefficient,2916,76190,52.256515775034295,13.282063007354736,1.18359375,50,7962847.873799726,0.2656412601470947,0.3380281690140845,0.011025068906680667,0.021353670162059107,0.98645,0.36733659528413937,168
5,Resource Allocation,3463,81550,47.09789200115507,8.497009992599487,0.59375,50,7681666.185388391,0.16994019985198974,0.314,0.00962599632127529,0.018679357525282568,0.9884,0.4200885032321018,157
6,Common Neighbors,3670,84875,46.253405994550405,9.553075551986694,0.1,50,7851515.66757493,0.1910615110397339,0.2967479674796748,0.008600883652430044,0.016717238220644644,0.9991,0.40877340379004035,146
5,Jaccard Coefficient,3463,81550,47.09789200115507,14.363956689834595,0.1,50,7681666.185388391,0.2872791337966919,0.2931726907630522,0.008951563458001226,0.017372679676344597,0.9873,0.3667263157970307,146
