algorithm,precision,recall,f1_score,roc_auc,map,sklearn_map,runtime,memory_mb,sample_size,top_k,true_positives,total_predictions,total_actual
Adamic-Adar,0.29405737704918034,0.016263387544625148,0.03082210170219621,0.99395,0.3608008315065945,0.9944116504854369,11.163224220275879,3.52734375,100,10,287,976,17647
Common Neighbors,0.3230769230769231,0.017850059500198336,0.033830952636666314,0.9931,0.42055287737301367,0.9927610972106385,10.453870058059692,3.86328125,100,10,315,975,17647
Jaccard Coefficient,0.26591375770020537,0.014676715589051963,0.027818054884270447,0.9921999999999999,0.3519496154747315,0.9926954192117664,12.225542068481445,3.1875,100,10,259,974,17647
Preferential Attachment,0.027,0.001530005100017,0.002895908188984823,0.8170999999999999,0.07865237301282783,0.8280014789643828,4.788720369338989,1.08984375,100,10,27,1000,17647
Resource Allocation,0.37448979591836734,0.020796735989119963,0.039405164546089014,0.99415,0.4662789575485681,0.9946116504854369,11.230365514755249,2.30859375,100,10,367,980,17647
