Files,V,E,BFS(s)
1,348,2866,0.0008
2,1390,30654,0.0059
3,2167,45414,0.0098
4,2916,76190,0.0155
5,3463,81550,0.0177
6,3670,84875,0.0184
7,3730,85080,0.0197
8,3833,86243,0.0183
9,4003,88069,0.0199
10,4039,88234,0.0194
